,error0
465,1.0
466,4.0
467,3.0
468,1.0
469,2.5
470,1.0
471,3.0
472,2.0
473,6.5
474,8.0
475,9.0
476,2.3333333333333335
477,1.3333333333333333
478,6.0
479,15.0
480,9.0
481,1.4
482,4.0
483,2.2941176470588234
484,4.0
485,4.0
486,3.0
487,12.0
488,6.0
489,5.0
490,1.6666666666666667
491,2.0
492,1.2857142857142858
493,10.0
494,7.0
495,86.0
496,2.5
497,4.333333333333333
498,2.106382978723404
499,1.7826086956521738
500,14.0
501,11.0
502,12.0
503,3.0
504,4.0
505,3.0
506,5.0
507,2.0
508,2.5
509,11.0
510,10.0
511,1.0
512,6.0
513,2.0
514,2.0
515,7.0
516,2.0
517,10.0
518,1.2857142857142858
519,109.46666666666667
520,1.0
521,13.5
522,6.0
523,1.8
524,5.0
525,2.3076923076923075
526,3.0
527,2.0
528,1.5
529,21.0
530,1.5
531,1.0833333333333333
532,4.0
533,2.4
534,3.0
535,2.3333333333333335
536,352.0
537,4.0
538,1.5
539,1.0
540,2.0
541,5.0
542,1.5
543,2.0
544,2.0
545,3.0
546,9.0
547,1.3846153846153846
548,7.0
549,4.0
550,2.4285714285714284
551,1.0
552,4.0
553,3.0
554,9.0
555,4.0
556,3.0
557,5.0
558,15.75
559,1.5
560,3.0
561,6.0
562,9.0
563,14668.222222222223
564,1.1666666666666667
565,13.0
566,6.0
567,2.5
568,3901.75
569,2.0
570,1.0
571,1.0
572,1.0
573,2.0
574,4.0
575,3.5
576,4.0
577,1.0
578,3.0
579,3.0
580,8.666666666666666
581,3.25
582,15.0
583,6.0
584,5.0
585,5.0
586,6.0
587,11.0
588,3.8333333333333335
589,26511.714285714286
590,9.0
591,2.5
592,1.3333333333333333
593,7.0
594,3.0
595,4.0
596,1.3333333333333333
597,4.2
598,8.0
599,28228.727272727272
600,14.0
601,21.0
602,1.75
603,7.0
604,1.0
605,12.6
606,2.25
607,1.8333333333333333
608,7.0
609,1.3333333333333333
610,1.6666666666666667
611,9.0
612,11.153846153846153
