error0
2.75
2
4
3
10
5.714285714
4
3
16.8
2
4
4
6
6.25
5
3106.25
4
10.75
3
2
411.1666667
15
12
8
9.5
9.5
2.714285714
6
3.25
8
13730.28571
2.75
1.1
20.5
13
4
1.5
5
3
5.166666667
11
5
2
2
5
4.6
3
1.666666667
3
1.5
34067.5
1
1
5.5
2.368421053
16.9047619
3.5
1.375
6
4
4.571428571
5.5
13.5
4
1.25
7
3.076923077
1.5
1.333333333
6
17
5
1
1086.454545
1.777777778
4
2.666666667
3
6
1
9
6.666666667
2
4
7.2
25.26315789
2
3
1.666666667
8
1
2
1
3
3
8
1
3
3
2.777777778
2.25
1
1.333333333
7.5
1.5
9.2
2
1.8
3.666666667
64
8
4
20
6
10
7
6
16.8
3.5
5
3
2
5
1.2
7.4
6
2.5
4.666666667
7
7065.5
2.588235294
5
2.333333333
1.666666667
1.285714286
4
5
6.857142857
1
1.875
6
8
20820.16667
4
1.333333333
7.428571429
2
8
1
11
9
7
4
3.5
5
3.333333333
1
1.8
3
5
1.166666667
19
2
2.333333333
2
4
5
15
22
24
7.5
2
7
7
4
5.5
6.75
6
1792.096154
5350.530612
1.4
4.8
1.666666667
4.428571429
4
53
3
1.25
3
16
15
7
1.2
5
1
4
4
4.5
13
4
5
10
5.5
1.666666667
19.5
1.333333333
4.5
1
11
1.666666667
4
6.5
2
4
3.5
3
2.083333333
5
3045.666667
3
2
1
3
4
1.125
1.5
2
1.5
7.5
6
9
1.6
3
136.25
1.214285714
23
8
26
3
10
2.666666667
6
3
2
1.5
4
2
2
4
8.5
7
5
2.5
3
2.4
6
1.142857143
1.176470588
9
162
1.75
5
6
1.055555556
1.454545455
5
7
1.2
2
5507
1
13
3
5
2.333333333
3.75
4
7
12
3.5
8
7
6
1.833333333
22.33333333
2.333333333
1.142857143
3
2
1.666666667
2
3
6
1
2
5
1.571428571
2.5
11
3596.846154
7
6
170.3333333
6
5
8
5
7
2.75
1
5
1.714285714
6
3
6.2
23
1.5
5
7
2
1376.157895
4
5
1.5
13.2
1.5
7
171.9
11
4
4
4
9
5
9
6
6
3.25
11.25
3
3
3
3.9
6.222222222
3.5
19
7
1
7
8
3.625
8
4
9
4
1
2.5
1.375
15
12
2.333333333
6
4
2.333333333
8.333333333
2.5
3
1.333333333
4
5
4
34
4
2262
8
1
198.5555556
4
7
354
1.5
758.7857143
7.285714286
2.75
3.5
5
3.333333333
4
5
2.333333333
6
1
1
2
2.5625
309.2777778
15
9
2.833333333
4
3
1
4
1
5.142857143
7
4.5
3
9
1.857142857
7
7
1.714285714
12
6
3
11.5
10
1
824.6666667
5
3
1.4
1.857142857
3.6
2
7.714285714
6
1.666666667
1
9
1.333333333
13.5
14
7
8
9
10
3
10465
2
1
3
2
15
1.5
1.666666667
1.1
1.25
2.5
3
1.25
1.875
6
6
1.75
7.5
5
415
2
2
4
4
5
1.25
6
3
2.333333333
1.75
