,error0
0,1.5714285714285714
1,1.5
2,4.0
3,5.0
4,11.0
5,6.666666666666667
6,4.0
7,4.2
8,10.5
9,4.0
10,4.0
11,6.0
12,10.0
13,7.142857142857143
14,8.0
15,5.428571428571429
16,2485.0
17,6.0
18,10.75
19,3.0
20,1.3333333333333333
21,822.3333333333334
22,6.0
23,13.0
24,6.0
25,9.0
26,14.0
27,2.142857142857143
28,6.0
29,2.25
30,21.0
31,7393.2307692307695
32,3.25
33,1.2222222222222223
34,12.0
35,10.0
36,2.0
37,2.0
38,5.0
39,4.0
40,3.875
41,10.0
42,2.0
43,1.2857142857142858
44,3.0
45,4.0
46,5.75
47,3.0
48,1.5
49,3.0
50,1.5
51,34067.5
52,1.0
53,1.4285714285714286
54,2.75
55,1.1875
56,18.68421052631579
57,2.0
58,1.2222222222222223
59,3.0
60,47531.333333333336
61,5.0
62,4.0
63,11.0
64,27.0
65,6.0
66,1.6666666666666667
67,4.0
68,5.0
69,1.0
70,1.25
71,6.0
72,10.0
73,6.0
74,1.3333333333333333
75,1327.888888888889
76,2.2857142857142856
77,4.0
78,3.3333333333333335
79,3.0
80,7.0
81,1.4
82,16.0
83,8.571428571428571
84,1.7142857142857142
85,5.0
86,7.2
87,17.77777777777778
88,2.0
89,4.5
90,1.3333333333333333
91,17.0
92,2.75
93,3.0
94,1.0
95,4.5
96,4.0
97,5.0
98,1.0
99,3.0
100,3.0
101,4.166666666666667
102,2.25
103,1.1666666666666667
104,1.0
105,7.5
106,1.75
107,11.5
108,3.0
109,2.25
110,2.6666666666666665
111,48.0
112,11.0
113,3.0
114,30.0
115,8.0
116,15.0
117,7.0
118,7.0
119,33.6
120,29403.428571428572
121,3.5
122,3.0
123,6.0
124,2.0
125,3.0
126,1.8
127,7.4
128,7.0
129,3.5
130,4.666666666666667
131,6.0
132,8074.857142857143
133,4.0
134,5.0
135,1.75
136,2.0
137,1.0
138,4.0
139,4.0
140,8.0
141,1.0
142,1.6666666666666667
143,6.0
144,6.0
145,20820.166666666668
146,4.0
147,78610.25
148,1.6666666666666667
149,8.666666666666666
150,2.0
151,8.0
152,1.3333333333333333
153,8.0
154,5.0
155,6.0
156,3.0
157,2.0
158,4.0
159,3.3333333333333335
160,1.0
161,1.6363636363636365
162,5.0
163,5.0
164,1.1666666666666667
165,14.0
166,1.3333333333333333
167,3.3333333333333335
168,7.0
169,5.0
170,6.0
171,6.0
172,14.0
173,23058.470588235294
174,16.0
175,5.0
176,53531.4
177,16635.2
178,3.0
179,6.0
180,5.0
181,5.0
182,5.5
183,6.75
184,4.0
185,4659.45
186,10924.0
187,1.4
188,4.8
189,1.3333333333333333
190,5.166666666666667
191,5.0
192,13.0
193,3.0
194,3.4
195,2.0
196,12.0
197,8.0
198,6.0
199,3.0
200,3.0
201,2.5
202,5.0
203,4.0
204,7.0
205,13.0
206,6.0
207,7.0
208,4.0
209,10.0
210,1.1
211,16.714285714285715
212,1.3333333333333333
213,2.5714285714285716
214,3.0
215,11.0
216,2.3333333333333335
217,4.0
218,4.333333333333333
219,3.0
220,4.0
221,2.0
222,4.0
223,3.125
224,7.0
225,3045.6666666666665
226,3.0
227,1.25
228,1.5
229,3.0
230,6.0
231,1.6
232,1.2
233,1.0
234,1.0
235,10.0
236,6.0
237,14.0
238,2.6666666666666665
239,3.0
240,136.25
241,1.0588235294117647
242,19.0
243,5.5
244,28.0
245,3.0
246,10.0
