error0
2
2
7
7.166666667
3.333333333
4
6
1.6
24.66666667
2
3
1.333333333
5
6
4.833333333
2
3
2
4
3
2
5.625
24.625
8
1.333333333
4
5
6
5
2
33.33333333
6
1.2
9
1.2
3
1
2
7
11
1.6
1.3
7
4
1
2.333333333
1.833333333
5
2
28.5
10
5
1.666666667
3
10
1.5
3
3
7
2.5
6
1.5
4
2.75
5
4.6
15.14285714
3
4
2
1.25
4
12
2.516129032
2.5
1.5
4
2
17.5
15.75
2.333333333
7
8
1.5
7
2
2.7
4
6
18.5
4.5
5
6
4.666666667
7
1.285714286
8
8
5
1.142857143
5
9
6
3
66.85714286
1.75
6
2.666666667
3.5
2.5
9
6
1.333333333
10
6
1.25
5
4
3
5
7
4
6
4
9334.8
5.5
1.25
4
4
6.5
9
4
3.428571429
10
2
117.5
46
5
4
1.5
9
7
1.5
1
3
7
3
1
9
2.333333333
1
3
9.833333333
1
5
9.428571429
4
3.333333333
4
9.9
5
4.222222222
2
1
8
8
24.25
6
6
50.8
7
3
9
1.571428571
7
3
3.857142857
2.071428571
1.2
3.5
2.5
10.5
3.25
4.5
2.666666667
112.75
2.875
6
2.333333333
1335.4
5
2.666666667
5
3.214285714
12
3
7
4
7
7
3
5
3
6
7
2
9
1.666666667
24
35
4.285714286
2.5
2.5
3
6206.333333
10
2
5
1.428571429
3
2.166666667
5
1.333333333
2.333333333
6
9.333333333
1.555555556
1.666666667
22.5
1
10
1.5
1.666666667
4
1.5
6
3.6
4
6
4
2
2.142857143
7.5
2
2.5
2.25
6
12139.4
1.666666667
2.333333333
6.461538462
49
15.5
8.666666667
39.5
3
2
11.66666667
12128.31818
2.25
8
6
18875
3.5
9
5
11.75
75
8
1.333333333
3
6
5
4
7
1.363636364
1.333333333
4
4
4.5
3
4.666666667
10
8
4
1.2
1.333333333
2
7
5
1.5
5
6
2.666666667
3.5
157
3.5
10
6
6
6
1.333333333
6
11
9
7
8
13
10
6
1
6
2.666666667
614.625
24
2
6
7
6
5
4
5
4.25
3
2.25
3
4.333333333
4.5
2
1.2
2
3
2
3
1.142857143
5
8
5
6
4.4
4.833333333
11
9
1.666666667
5
8
1.2
11.2
4
6
1.4
4
1.333333333
2.666666667
17
1.846153846
16
6
3
9
21
63.4
3
2.7
1.666666667
12
1.333333333
4
1.5
1.5
9
1.666666667
25.66666667
2092
5
3
5
5
4
2
5
1.4
3
3
3
1.666666667
1.058823529
1.333333333
5
1.5
13
12
1.428571429
2.333333333
5.3
2.875
1
8
9.666666667
8
12
6
5
2.5
17
