,error0
0,1.2222222222222223
1,1.0
2,3.0
3,3.0
4,10.0
5,8.0
6,5.0
7,4.2
8,16.8
9,3.0
10,3.0
11,5.0
12,6.0
13,10.0
14,4.0
15,5.428571428571429
16,2485.0
17,6.0
18,14.333333333333334
19,2.0
20,1.6666666666666667
21,493.4
22,8.0
23,14.0
24,8.0
25,6.5
26,14.5
27,2.142857142857143
28,6.0
29,3.25
30,18.0
31,6007.0
32,2.5
33,1.5714285714285714
34,12.0
35,8.0
36,4.0
37,1.5
38,4.0
39,2.0
40,6.2
41,8.0
42,3.0
43,1.4285714285714286
44,3.0
45,5.0
46,5.75
47,2.5
48,1.6666666666666667
49,4.0
50,1.5
51,34067.5
52,1.0
53,1.4
54,2.75
55,1.4210526315789473
56,22.1875
57,3.0
58,1.0
59,5.0
60,28518.8
61,4.0
62,4.571428571428571
63,5.5
64,27.0
65,5.0
66,1.6666666666666667
67,3.0
68,4.444444444444445
69,1.0
70,1.125
71,7.0
72,11.0
73,6.0
74,1.3333333333333333
75,1707.2857142857142
76,3.2
77,7.0
78,3.3333333333333335
79,3.0
80,5.0
81,1.2
82,13.0
83,7.5
84,2.4
85,5.0
86,9.0
87,21.818181818181817
88,5.0
89,3.0
90,2.0
91,13.0
92,2.0
93,4.0
94,1.3333333333333333
95,3.0
96,3.0
97,6.0
98,1.0
99,2.0
100,2.0
101,2.7777777777777777
102,2.25
103,1.3333333333333333
104,1.3333333333333333
105,6.0
106,1.5
107,11.5
108,2.0
109,1.8
110,2.0
111,54.857142857142854
112,9.0
113,3.0
114,30.0
115,5.0
116,10.0
117,6.0
118,5.0
119,21.0
120,34304.0
121,3.0
122,3.0
123,5.0
124,2.0
125,4.0
126,1.4
127,9.25
128,4.0
129,2.0
130,5.090909090909091
131,12.0
132,4710.333333333333
133,6.285714285714286
134,4.0
135,2.3333333333333335
136,1.3333333333333333
137,1.0
138,5.0
139,6.0
140,8.0
141,1.0
142,2.142857142857143
143,6.0
144,6.0
145,20820.166666666668
146,4.0
147,78610.25
148,1.6666666666666667
149,7.428571428571429
150,2.0
151,4.0
