,error0
0,7.0
1,5.0
2,5.0
3,4.0
4,149.66666666666666
5,6.0
6,2.6666666666666665
7,6.8
8,18.0
9,4.0
10,1.0
11,1.5
12,54.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,9.75
19,5.0
20,4.0
21,5.0
22,2.2857142857142856
23,7.0
24,7.0
25,2.230769230769231
26,5.0
27,3.0
28,8.333333333333334
29,12429.0
30,6.0
31,4.0
32,1.7142857142857142
33,7381.833333333333
34,4.0
35,5.0
36,6.0
37,352.8333333333333
38,4.0
39,1.0
40,3708.0
41,3.0
42,2.0
43,6.0
44,4.0
45,1.0
46,11.0
47,3.3333333333333335
48,26.0
49,5.066666666666666
50,5.0
51,4.0
52,9628.333333333334
53,2.4
54,6.0
55,4.0
56,3.0
57,1.0
58,6.666666666666667
59,1.5
60,795.0
61,6.5
62,181.83333333333334
63,11.0
64,3.0
65,1.5
66,8.0
67,1.2
68,8.0
69,3.0
70,3.0
71,2.0
72,2.0
73,3.0
74,18.0
75,8.0
76,4.5
77,5.833333333333333
78,3.0
79,6.0
80,1.25
81,2.0
82,7.0
83,1.1
84,1.2142857142857142
85,23577.625
86,5.0
87,12.0
88,8.0
89,8.0
90,3.0
91,7.0
92,1.5
93,6.0
94,6.0
95,16.0
96,10.0
97,6.0
98,13.0
99,1075.4473684210527
100,15.571428571428571
101,3.0
102,4.0
103,7.0
104,11587.5
105,5.0
106,3.0
107,3.0
108,9.0
109,18.0
110,7.0
111,4.0
112,3.5
113,4.0
114,11.0
115,2.0
116,10.0
117,2.0
118,3.0
119,3.0
120,4.0
121,3.0
122,21.0
123,2.2222222222222223
124,1.0
125,2.0
126,1.0
127,6.5
128,6.0
129,3.0
130,4.0
131,8.0
132,10.0
133,11.0
134,2.6
135,5.0
136,7.0
137,227.0
138,33908.25
139,2.0
140,1.0
141,11.0
142,3.0
143,6.5
144,6.0
145,3.0
146,13.0
147,3.0
148,1.5
149,4.0
150,5.0
151,4.0
152,1.0
153,1.3333333333333333
154,1.5
155,49864.5
156,1.25
157,1.2
158,2777.214285714286
159,18.0
160,6.0
161,6.0
162,4.0
163,1.75
164,4.888888888888889
165,15.0
166,9.0
167,137589.0
168,1.8
169,2.5555555555555554
170,1.25
171,1.0
172,58338.75
173,4.0
174,1.7142857142857142
175,237.16666666666666
176,3.0
177,5.0
178,1.0
179,5.0
180,5.0
181,1.5
182,29.875
183,1722.4615384615386
184,1.0909090909090908
185,6.0
186,8.0
187,8.0
188,127.66666666666667
189,7.0
190,3.0
191,11412.111111111111
192,8.0
193,5.25
194,6.0
195,103.5
196,2.6666666666666665
197,8.0
198,7.0
199,3.3333333333333335
200,1.6666666666666667
201,600.5714285714286
202,1.25
203,31148.4
204,2.0
205,22486.11111111111
206,5.0
207,6.0
208,4.0
209,15.0
210,3.0
211,44.0
212,8.0
213,939.25
214,7.0
215,1.3333333333333333
216,3.0
217,5.0
218,196.66666666666666
219,8.0
220,3.0
221,5.6
222,4.333333333333333
223,6.5
224,18.0
225,3.0
226,4.0
227,5.0
228,8.0
229,7.0
230,13.5
231,6921.25
232,2.0
233,11.25
234,1.5
235,16.625
236,2.6
237,2.5
238,4.25
239,16.2
240,5.0
241,10.0
242,1.6666666666666667
243,2.0
244,6.0
245,5.0
246,1.6666666666666667
247,4.666666666666667
248,2.2857142857142856
249,8.0
250,9.0
251,2.0
252,16.8
253,2.0
254,12.0
255,1.0
256,3.0
257,3.5
258,8.0
259,16.0
260,3.0
261,80.0
262,35453.0
263,142.84615384615384
264,125.66666666666667
265,50.0
266,4.0
267,4.0
268,18.333333333333332
269,1.1428571428571428
270,3.0
271,1.7777777777777777
272,7.0
273,4.0
274,2.75
275,2.5
276,10.0
277,8.0
278,3.0
279,67.2
280,7.0
281,2.0
282,1.25
283,5.0
284,1711.875
285,17.0
286,2.0
287,2.0
288,115739.2
289,7.0
290,14174.5
291,4.5
292,4.0
293,102.4
294,1339.4545454545455
295,9.0
296,3.0
297,55.75
298,5.0
299,61.25
300,3.6
301,8.0
302,31.0
303,1.0
304,6.0
305,8.0
306,3.75
307,5.0
308,6.0
309,77.33333333333333
310,5.0
311,15.6
312,7.0
313,3.7142857142857144
314,1033.1
315,11.0
316,3.3333333333333335
317,11.0
318,12.0
319,1.6666666666666667
320,45.75
321,1.2
322,4.5
323,3.5714285714285716
324,7.0
325,5.0
326,80.21428571428571
327,3.0
328,1.8
329,2.0
330,1.0
331,2.5
332,4.75
333,2.5
334,4.0
335,3.0
336,7.0
337,5.0
338,3.0
339,2.1666666666666665
340,4.0
341,2.0
342,3977.6923076923076
343,2.6666666666666665
344,24.0
345,355.2307692307692
346,9.0
347,6.666666666666667
348,22.0
349,10.25
350,6.0
351,13.0
352,2.0
353,4.0
354,3.0
355,4.0
356,2.5
357,1.75
358,17649.5
359,1.2
360,6.0
361,7.0
362,368.5
363,8.0
364,1.3333333333333333
365,1.8333333333333333
366,1.0
367,5.6
368,16.666666666666668
369,3.0
370,2.6666666666666665
371,6.0
372,4.0
373,8.0
374,98.57142857142857
375,5.0
376,3.0
377,12.0
378,34404.666666666664
379,2.0
380,442.7
381,5.0
382,3.4285714285714284
383,1.8333333333333333
384,28.23076923076923
385,1.3333333333333333
386,9.0
387,7.0
388,2.0
389,2.75
390,3.0
391,7.0
392,3.0
393,2.0
394,3.0
395,1.0
396,4.0
397,2.4
398,2.5
399,1.6666666666666667
400,4.75
401,6.0
402,13.0
403,12.0
404,6.0
405,977.8571428571429
406,3.0
407,5.0
408,35.5
409,5.333333333333333
410,2.4545454545454546
411,18.0
412,6.0
413,2.0
414,2.0
415,716.5
416,4.0
417,4.0
418,9.0
419,4.0
420,6.0
421,68532.25
422,8.0
423,7.0
424,1.6666666666666667
425,5.0
426,3.3333333333333335
427,4.8
428,4.0
429,1.5
430,1.2
431,3.0
432,1.4
433,7.0
434,3.75
435,591.5833333333334
436,10.0
437,9.0
438,61571.857142857145
439,2.0
440,4.0
441,2.3333333333333335
442,8.0
443,2.0
444,8.0
445,12.0
446,5.0
447,4.0
448,3.0
449,6.0
450,6.0
451,7.0
452,355.1
453,5.6923076923076925
454,7.0
455,5.0
456,4.5
457,1.1428571428571428
458,6.0
459,4.0
460,11.0
461,1.5
462,12.0
463,5.0
464,6.333333333333333
465,2.0
466,4.0
467,4.5
468,3.0
469,1.25
470,1.5
471,4.0
472,4.0
473,12.0
474,17.0
475,8.0
476,2.3333333333333335
477,1.6666666666666667
478,11.0
479,10.0
480,5.0
481,1.4
482,8.0
483,3.9
484,10.0
485,12.0
486,3.0
487,6.0
488,4.0
489,8.0
490,2.5
491,4.4
492,1.1666666666666667
493,7.0
494,4.0
495,28.0
496,1.2
497,31.2
498,18.0
499,4.6
500,8.0
501,9.0
502,9.0
503,4.0
504,3.0
505,3.0
506,4.0
507,2.0
508,4.0
509,10.0
510,12.0
511,1.0
512,5.0
513,4.0
514,3.0
515,14.0
516,2.0
517,8.0
518,1.0
519,328.4
520,2.3333333333333335
521,8.5
522,3.0
523,1.7
524,4.0
525,3.3333333333333335
526,1.0
527,4.0
528,4.0
529,19.0
530,1.2
531,2.1666666666666665
532,5.0
533,2.0
534,3.0
535,2.3333333333333335
536,422.4
537,3.0
538,2.0
539,1.25
540,1.0
541,3.0
542,1.3333333333333333
543,2.0
544,8.0
545,7.0
546,22.0
547,1.2
548,8.0
549,1.5
550,2.125
551,1.0
552,7.0
553,5.0
554,3.0
555,4.0
556,3.0
557,4.0
558,18.0
559,1.5
560,4.0
561,5.0
562,13.0
563,12001.272727272728
564,4.0
565,6.0
566,15.0
567,1.5
568,5202.333333333333
569,1.0
570,5.0
571,2.0
572,4.0
573,4.0
574,3.0
575,3.5
576,4.0
577,1.0
578,5.25
579,5.0
580,3.7142857142857144
581,1.25
582,6.0
583,1.0
584,11.0
585,2.5
586,2.5
587,9.0
588,5.75
589,37116.4
590,6.0
591,1.25
592,1.5
593,7.0
594,4.0
595,4.0
596,1.3333333333333333
597,2.2
598,13.0
599,13500.695652173914
600,10.0
601,10.0
602,1.0769230769230769
603,12.0
604,1.6666666666666667
605,21.0
606,1.5
607,3.0
608,5.0
609,1.5
610,1.6666666666666667
611,8.0
612,12.083333333333334
613,14.0
614,18.5
615,4.0
616,5.2
617,5.0
618,3.0
619,5.0
620,51.0
621,1999.984375
622,9.0
623,892.7058823529412
624,3.0
625,1.125
626,3.0
627,1.0
628,185.33333333333334
629,2.3333333333333335
630,5.0
631,3.3333333333333335
632,20.0
633,2.4
634,3.0
635,3933.913043478261
636,3.0
637,2.0
638,3.0
639,4.0
640,5.0
641,2.5
642,6.0
643,8.666666666666666
644,2.0
645,1.6666666666666667
646,3.0
647,7.0
648,4.0
649,3.0
650,4.0
651,2.0
652,5.0
653,6.75
654,6.6
655,3.0
656,2.0
657,5.4
658,3.0
659,10.0
660,46149.71428571428
661,17.0
662,11.0
663,1.2
664,7.0
665,2.090909090909091
666,7.0
667,20476.5
668,4.0
669,1.4
670,10.0
671,10.0
672,4.0
673,13.0
674,18.0
675,14.0
676,6.4
677,49.5
678,5.0
679,6.0
680,4.0
681,5.0
682,6.0
683,4.0
684,1.5
685,7.5
686,5.0
687,1.0
688,2.5
689,6.0
690,4.0
691,7.0
692,2.5
693,2.0
694,14.4
695,5.0
696,1.8333333333333333
697,2.0
698,3.0
699,4.0
700,2.3333333333333335
701,1.1111111111111112
702,1.4444444444444444
703,1.0
704,4.0
705,3.75
706,1.5
707,2.5
708,1.4285714285714286
709,37244.166666666664
710,1.1428571428571428
711,18.833333333333332
712,1.1818181818181819
713,20.571428571428573
714,2.0
715,5.0
716,2.5
717,10.0
718,3.0
719,9.45
720,10.0
721,2.4285714285714284
722,6.0
723,2.0
724,4.0
725,20532.333333333332
726,3.3333333333333335
727,3.0
728,2.0
729,1.0
730,3.3333333333333335
731,3.0
732,2.0
733,8.0
734,12.0
735,4.0
736,4.0
737,13.333333333333334
738,14.0
739,4.5
740,1.1666666666666667
741,7.0
742,50.57142857142857
743,1.0625
744,6.444444444444445
745,4.0
746,2.0
747,5.25
748,1.2222222222222223
749,5.0
750,4.8
751,13.0
752,4.0
753,2.0
754,1.25
755,12.8
756,7025.0
757,4.0
758,3.0
759,6.0
760,22.0
761,4.0
762,3.0
763,4.0
764,10.0
765,66825.1
766,9.0
767,22.75
768,12.0
769,14.0
770,2.0
771,4.0
772,4.0
773,4.0
774,3.0
775,5.0
776,1.0
777,45.6
778,31.0
779,13.0
780,1.0
781,7.0
782,3.0
783,8.0
784,9.0
785,4.0
786,4.5
787,4.0
788,7.0
789,1.5
790,2.5
791,5.0
792,1.0
793,8.0
794,6.0
795,1.6666666666666667
796,10.2
797,6.0
798,7.0
799,3.0
800,3.3333333333333335
801,5.333333333333333
802,9.0
803,3.0
804,5.0
805,143353.0
806,5.0
807,1.75
808,13.0
809,4.5
810,1788.1
811,6.0
812,1.2
813,1.6666666666666667
814,1.0
815,3.0
816,7.0
817,2.0
818,1226.4
819,3.5
820,1.3333333333333333
821,2.0
822,3.0
823,1.3333333333333333
824,1.5
825,4.5
826,296.5
827,8.0
828,1.2
829,1.6666666666666667
830,95.6
831,17.0
832,1.0909090909090908
833,1.1538461538461537
834,2.0
835,8.0
836,7.0
837,5.0
838,7.0
839,29.0
840,4.0
841,3.5
842,10.0
843,60.25
844,3.375
845,5.076923076923077
846,2.0
847,6.0
848,2.0
849,8.181818181818182
850,1.4444444444444444
851,17.0
852,17.0
853,14.0
854,33.0
855,9.0
856,2.5
857,2.0
858,1.0
859,4.0
860,14.0
861,7.0
862,6.0
863,5.0
864,12.0
865,1.3846153846153846
866,7.0
867,8.0
868,2.6666666666666665
869,2.5
870,5.0
871,6.0
872,9.25
873,1.0
874,4.0
875,5.0
876,9.0
877,16.0
878,4.0
879,4.0
880,6.0
881,5013.8
882,3.0
883,7.0
884,12.5
885,9.0
886,6.0
887,3.0
888,7.0
889,8283.714285714286
890,6.0
891,3.5
892,5.0
893,1.2222222222222223
894,915.9375
895,2.857142857142857
896,9.0
897,5.25
898,11.0
899,12.5
900,12.0
901,16.0
902,2.6666666666666665
903,2.0
904,1.1428571428571428
905,1.4
906,7.0
907,8.0
908,2.0
909,11.714285714285714
910,7.0
911,2.6666666666666665
912,12.0
913,7.0
914,1352.8333333333333
915,7.0
916,21.5
917,2.5
918,3.3333333333333335
919,301.75
920,2.0
921,1.0
922,4.0
923,1.3333333333333333
924,5.0
925,1.25
926,17.0
927,80949.33333333333
928,5.0
929,2.0
930,1.75
931,3.0
932,3.0
933,4.0
934,6.857142857142857
935,1.3333333333333333
936,3.0
937,4.6
938,4.0
939,5.0
940,2.5
941,4.0
942,40.0
943,1.5789473684210527
944,29.0
945,6.0
946,1.588235294117647
947,3.5
948,1.25
949,1.8333333333333333
950,3.0
951,8.0
952,3.0
953,1.0
954,7.0
955,5.454545454545454
956,9.0
957,3.0
958,7.0
959,1.0769230769230769
960,9.0
961,1.2857142857142858
962,6.222222222222222
963,5.565217391304348
964,1.3333333333333333
965,17.0
966,14.0
967,6.0
968,4.0
969,1.4
970,2.6666666666666665
971,12.0
972,3.0
973,1.0
974,4.0
975,9.5
976,1.4
977,133.0
978,3.4285714285714284
979,10.0
980,3.0
981,2.0
982,1.0
983,7.0
984,3.0
985,1.1428571428571428
986,8.0
987,1.3333333333333333
988,10.285714285714286
989,3912.6153846153848
990,13.0
991,5.0
992,33.0
993,3.0
994,4.0
995,6.0
996,3.888888888888889
997,2.0
998,4.0
999,7.0
1000,8.0
1001,6.666666666666667
1002,4.0
1003,4.0
1004,590.9615384615385
1005,7.333333333333333
1006,2.75
1007,541.2307692307693
1008,6.0
1009,3.0
1010,4.285714285714286
1011,3.0
1012,5.0
1013,6.0
1014,784.8571428571429
1015,4.0
1016,7.0
1017,344.57142857142856
1018,5.0
1019,17.0
1020,10.0
1021,1.1666666666666667
1022,11.333333333333334
1023,3.2
1024,5.0
1025,4.0
1026,1.5
1027,2.0
1028,4.0
1029,5.0
1030,1.0
1031,9.2
1032,4.0
1033,6.0
1034,4.0
1035,2.0
1036,1.0
1037,12.0
1038,6.0
1039,210.0
1040,4.0
1041,6.0
1042,4.5
1043,4601.333333333333
1044,8089.5
1045,1.9545454545454546
1046,4.0
1047,1.4
1048,6.0
1049,9.0
1050,67892.14285714286
1051,3.0
1052,1.3333333333333333
1053,6.0
1054,17.0
1055,1.6666666666666667
1056,11.555555555555555
1057,5.0
1058,15.0
1059,13.3
1060,6.0
1061,10.0
1062,7.0
1063,7.0
1064,1.05
1065,9.25
1066,7.0
1067,10.0
1068,2.0
1069,10.0
1070,1.3333333333333333
1071,9.0
1072,2.25
1073,3.0
1074,2.6666666666666665
1075,6.0
1076,1.5
1077,9.0
1078,1.75
1079,3.0
1080,150.33333333333334
1081,2.0
1082,2.5
1083,3.3333333333333335
1084,6.0
1085,3.0
1086,1.0
1087,34.125
1088,21.0
1089,2.4
1090,44.0
1091,3.0
1092,259.0
1093,5.0
1094,25.5
1095,3.0
1096,3.0
1097,4.5
1098,10.0
1099,4.0
1100,6.75
1101,1183.5
1102,2.0
1103,2.0
1104,33082.0
1105,2.0
1106,3.0
1107,4.0
1108,149.2
1109,4.0
1110,5.0
1111,6.0
1112,6.0
1113,773.4285714285714
1114,555.0
1115,1.6666666666666667
1116,7.0
1117,6.0
1118,13220.111111111111
1119,25.0
1120,30.555555555555557
1121,4.0
1122,1.2857142857142858
1123,3.0
1124,1.8
1125,5.285714285714286
1126,11.0
1127,5.0
1128,1.0
1129,46.666666666666664
1130,7.0
1131,6.0
1132,5.0
1133,4.0
1134,3.3333333333333335
1135,7.0
1136,1.3333333333333333
1137,1.3333333333333333
1138,2.0
1139,11.625
1140,8.666666666666666
1141,1.5
1142,1.3333333333333333
1143,63.44444444444444
1144,1.6
1145,3.0
1146,5.0
1147,5.0
1148,8.0
1149,10.0
1150,2463.5
1151,9.0
1152,39.0
1153,2.3333333333333335
1154,4.0
1155,1.75
1156,5.0
1157,1.5
1158,6.0
1159,2.0
1160,1.206896551724138
1161,8.0
1162,4.0
1163,8.0
1164,2.8
1165,2.0
1166,5.333333333333333
1167,1.0
1168,1.7142857142857142
1169,5.0
1170,5.0
1171,1.6666666666666667
1172,6.6
1173,21.0
1174,12.0
1175,2.6
1176,1.8888888888888888
1177,3.3333333333333335
1178,2.6666666666666665
1179,9.8
1180,4.2
1181,7.0
1182,6.0
1183,9.0
1184,8.6
1185,9.0
1186,1.5
1187,4.0
