,error0
0,2.0
1,5.0
2,3.75
3,1.0
4,449.0
5,4.666666666666667
6,1.0
7,3.090909090909091
8,5.0
9,6.0
10,3.6666666666666665
11,5.666666666666667
12,324.0
13,1.7142857142857142
14,5.0
15,25.0
16,1.0
17,8.0
18,39.0
19,1.0
20,2.0
21,4.0
22,3.625
23,172.0
24,52.0
25,6.153846153846154
26,20.0
27,9.88888888888889
28,5.666666666666667
29,74574.0
30,1.5
31,1.0
32,12.0
33,88582.0
34,130.0
35,4.0
36,7.0
37,705.6666666666666
38,28.0
39,7.0
40,4449.6
41,1.0
42,29.0
43,1.0
44,1.0
45,1.6666666666666667
46,19.0
47,1.1111111111111112
48,2.0
49,38.0
50,1.0
51,26.0
52,2888.5
53,3.0
54,35.0
55,4.0
56,19.0
57,1.5
58,5.0
59,7.0
60,45.0
61,4.5
62,311.7142857142857
63,7.0
64,4.0
65,218.0
66,1.0
67,2.0
68,2.0
69,15.0
70,2.0
71,1.0
72,1.0
73,20.0
74,1.0
75,3.0
76,1.0
77,17.5
78,7.5
79,1.5833333333333333
80,5.0
81,8.0
82,1.0
83,1.2222222222222223
84,17.0
85,94310.5
86,5.0
87,6.0
88,17.0
89,5.0
90,10.0
91,2.0
92,3.0
93,3.0
94,1.0
95,4.0
96,6.0
97,1.0
98,52.0
99,20433.5
100,109.0
101,12.0
102,4.0
103,3.0
104,9932.142857142857
105,61.0
106,3.0
107,4.0
108,16.0
109,5.0
110,163.0
111,5.0
112,2.0
113,6.0
114,3.0
115,7.714285714285714
116,27.0
117,4.166666666666667
118,24.0
119,1.0
120,45.0
121,2.0
122,3.0
123,20.0
124,21.0
125,6.0
126,18.5
127,1.0384615384615385
128,27.0
129,21.0
130,13.0
131,14.0
132,1.0
133,8.0
134,1.6666666666666667
135,5.0
136,14.0
137,340.5
138,19376.14285714286
139,1.0
140,2.0
141,2.0
142,3.0
143,7.5
144,4.0
145,1.0
146,98.0
147,9.0
148,2.0
149,4.0
150,2.0
151,3.0
152,1.6666666666666667
153,1.0833333333333333
154,1.5
155,33243.0
156,2.5
157,10.0
158,3888.1
159,5.0
160,155.0
161,11.0
162,22.5
163,1.4285714285714286
164,5.5
165,16.0
166,18.0
167,275178.0
168,1.0
169,9.0
170,4.0
171,1.5
172,116677.5
173,6.0
174,3.8333333333333335
175,111.6078431372549
176,4.0
177,1.0
178,2.0
179,2.0
180,11.0
181,1.5
182,239.0
183,11196.0
184,2.4
185,1.0
186,2.0
187,5.0
188,191.5
189,2.0
190,5.0
191,51354.5
192,3.0
193,1.3125
194,22.0
195,12.176470588235293
196,2.6666666666666665
197,5.0
198,1.0
199,8.571428571428571
200,3.0
201,4204.0
202,4.25
203,7787.1
204,3.5
205,6132.575757575758
206,14.0
207,1.0
208,10.0
209,1.0
210,1.0
211,73.33333333333333
212,8.0
213,1252.3333333333333
214,13.0
215,6.0
216,45.0
217,7.5
218,1770.0
219,26.0
220,16.0
221,28.0
222,46.333333333333336
223,17.0
224,4.5
225,1.0
226,14.0
227,1.0
228,3.0
229,2.0
230,1.2272727272727273
231,3955.0
232,13.0
233,1.5
234,2.0
235,44.333333333333336
236,3.4
237,19.5
238,8.5
239,23.142857142857142
240,4.0
241,1.0
242,6.666666666666667
243,16.0
244,3.0
245,3.0
246,1.2
247,1.4
248,16.0
249,3.0
250,27.0
251,3.0
252,2.7096774193548385
253,3.375
254,49.0
255,1.0
256,5.0
257,2.0
258,1.0
259,1.0
260,2.0
261,80.0
262,22158.125
263,1857.0
264,62.833333333333336
265,50.0
266,50.0
267,43.0
268,1.3772727272727272
269,4.0
270,4.0
271,1.6
272,135.0
273,14.0
274,1.0909090909090908
275,1.5
276,30.0
277,22.0
278,3.0
279,84.0
280,1.0
281,14.0
282,3.0
283,6.0
284,4565.0
285,41.5
286,70.33333333333333
287,1.5
288,192898.66666666666
289,21.0
290,17009.4
291,2.25
292,10.0
293,256.0
294,1637.111111111111
295,5.0
296,2.0
297,223.0
298,3.0
299,98.0
300,1.5555555555555556
301,1.0
302,17.0
303,2.0
304,66.0
305,6.0
306,6.428571428571429
307,7.0
308,3.0
309,232.0
310,29.0
311,156.0
312,5.0
313,26.0
314,10331.0
315,1.0
316,1.3333333333333333
317,2.0
318,8.0
319,3.4
320,26.142857142857142
321,1.6
322,1.3333333333333333
323,3.36
324,3.0
325,8.0
326,124.77777777777777
327,1.0
328,2.0
329,6.0
330,4.0
331,1.0
332,3.1666666666666665
333,14.0
334,40.0
335,3.0
336,5.0
337,4.0
338,30.0
339,13.0
340,59.0
341,3.875
342,6463.75
343,2.5
344,3.0
345,769.6666666666666
346,13.0
347,3.6363636363636362
348,4.0
349,13.666666666666666
350,3.0
351,13.0
352,10.0
353,1.0
354,14.0
355,1.0
356,10.0
357,4.0
358,52948.5
359,2.5
360,15.5
361,75.0
362,134.0
363,56.0
364,5.25
365,2.8333333333333335
366,1.3333333333333333
367,14.0
368,150.0
369,3.0
370,1.0
371,1.0
372,2.0
373,6.4
374,345.0
375,5.0
376,12.0
377,6.0
378,103214.0
379,4.5
380,737.8333333333334
381,20.0
382,1.75
383,1.3636363636363635
384,367.0
385,4.0
386,1.0
387,1.0
388,1.0
389,1.1
390,1.0
391,5.0
392,4.0
393,3.0
394,10.0
395,4.5
396,2.0
397,1.25
398,2.0
