,error0
338,1.0
339,3.0
340,1.1428571428571428
341,14.0
342,5.0
343,8.0
344,6.0
345,4.4
346,7.25
347,8.0
348,5.0
349,1.2
350,3.0
351,30.0
352,1.0
353,28.0
354,5.0
355,7.0
356,1.1666666666666667
357,4.0
358,1.6
359,4.0
360,10.0
361,2.4
362,8.0
363,5.0
364,5.0
365,103626.0
366,9.0
367,18.0
368,52.833333333333336
369,4.0
370,2.076923076923077
371,2.0
372,12.0
373,1.6666666666666667
374,5.0
375,1.25
376,1.6666666666666667
377,7.0
378,1.6666666666666667
379,38.5
380,1220.3333333333333
381,4.0
382,5.0
383,6.0
384,3.0
385,4.0
386,1.3333333333333333
387,3.0
388,1.7142857142857142
389,8.0
390,5.0
391,6.5
392,1.2
393,1.8
394,1.1428571428571428
395,4.0
396,1.5
397,7.0
398,22.0
399,1.25
400,5.333333333333333
401,4.24
402,2.75
403,2.9047619047619047
404,7.0
405,23.2
406,6.0
407,7.0
408,3.0
409,7.0
410,1.6666666666666667
411,10.0
412,6.761904761904762
413,8077.136363636364
414,5.0
415,10.0
416,5.666666666666667
417,2.5
418,1.6666666666666667
419,7.72
420,1.2
421,139261.66666666666
422,3.0
423,4.5
424,1.5
425,3.8
426,6.0
427,6.333333333333333
428,3.5
429,7.0
430,2.0
431,10.0
432,1.125
433,11.363636363636363
434,8.0
435,1.565217391304348
436,27.0
437,54.64705882352941
438,7.0
439,10.0
440,5.0
441,1.6666666666666667
442,6.0
443,10.0
444,2.0
445,3.0
446,6.0
447,2.3333333333333335
448,5.0
449,4.0
450,11.0
451,1.4
452,3.6
453,11.0
454,1.5
455,2.0
456,4.0
457,11.0
458,207.33333333333334
459,1.3333333333333333
460,4.0
461,8.0
462,4.0
463,8.0
464,3.0
465,1.6
466,2.0
467,519.3333333333334
468,13.0
469,6.0
470,18.0
471,5.0
472,1.1428571428571428
473,1.0
474,7.0
475,138.5
476,10.0
477,1.0
478,2.0
479,2.0
480,4.0
481,5.0
482,7.0
483,121603.14285714286
484,1.25
485,2.3333333333333335
486,3.0
487,3211.1428571428573
488,8.0
489,4.5
490,4.0
491,1.2
492,4.0
493,1.1666666666666667
494,7.0
495,1.3333333333333333
496,1.6
497,3.0
498,4.0
499,2.0
500,15.333333333333334
501,2.0
502,1.2444444444444445
503,3.5
504,3.5
505,7.0
506,1.0
507,1.0
508,8.0
509,3.0
510,2.0833333333333335
511,5.0
512,2.0
513,15.0
514,9.0
515,2.0
516,4.0
517,2.6
518,3.0
519,4.0
520,4.0
521,7.0
522,4.5
523,5.846153846153846
524,19.38095238095238
525,8.0
526,14.0
527,2.2
528,6.0
529,5.0
530,6.0
531,21.0
532,6.0
533,2.0
534,11.0
535,4.0
536,3.0
537,1.8
538,4.0
539,5.5
540,13.0
541,7.5
542,4.45
543,10.0
544,3.0
545,19.0
546,1634.6666666666667
547,1.6666666666666667
548,8.75
549,2.0
550,5.0
551,3.0
552,2.0
553,7.666666666666667
554,11.375
555,4.0
556,1.25
557,1.5
558,1.5714285714285714
559,7.0
560,1.5
561,5.0
562,3.0
563,8.0
564,6.0
565,13.636363636363637
566,11.0
567,4307.357142857143
568,117.625
569,4.0
570,6.666666666666667
571,1.75
572,7.0
573,4.0
574,1.875
575,9.0
576,59.25
577,2.4
578,1.1666666666666667
579,1.2857142857142858
580,4.8
581,10.0
582,2.0
583,3.0
584,7733.666666666667
585,1.0
586,1.3333333333333333
587,2.25
588,4.333333333333333
589,1.2
590,4.0
591,3.0
592,4.714285714285714
593,11.0
594,4.0
595,10.0
596,1.0909090909090908
597,1.5
598,7.0
599,1.0
600,2.0
601,2.142857142857143
602,4.0
603,19311.0
604,5.0
605,14.0
606,7.0
607,9.0
608,6.0
609,752.6
610,3.0
611,1.5
612,4.0
613,6.0
614,2.0
615,7.166666666666667
616,1.6
617,5.0
618,3.0
619,6.0
620,55.8
621,4.3076923076923075
622,29.333333333333332
623,9.0
624,7.0
625,201.25
626,4.5
627,11993.5
628,5.0
629,6.0
630,9.714285714285714
631,11.0
632,6.0
633,1.4
634,7.5
635,1.0
636,6.0
637,12.0
638,2715.5
639,16.0
640,1.0
641,1.5
642,1.2
643,5.0
644,10.0
645,4.0
646,5.0
647,15.0
648,1.5
649,6.0
650,4.181818181818182
651,1316.3333333333333
652,4.0
653,1.25
654,40.5
655,3.5
656,5.0
657,10.0
658,5.0
659,4.0
660,10.0
661,1.6
662,3.0
663,9.0
664,14.0
665,4.0
666,2.0
667,8.0
668,72761.0
669,7.0
670,3.0
671,137.0
672,19604.2
673,2.0
674,70.0
675,2806.6666666666665
676,3.0
677,1.2857142857142858
678,5.0
679,3.0
680,1.2
681,8.0
682,1.5
683,6.0
684,4.0
685,1.5
686,13.0
687,5.0
688,12.0
689,4.666666666666667
690,3.0
691,200.2
692,2.0
693,4.0
694,11210.0
695,8.0
696,1.6666666666666667
697,3.4
698,1.75
699,7.5
700,3.5
701,2.0
702,5.0
703,4.0
704,1.75
705,11.0
706,35.375
707,5.142857142857143
708,4.0
709,5.0
710,1.1081081081081081
711,8.5
712,1.6666666666666667
713,3.5
714,9.0
715,2.375
716,1.5
717,5.0
718,2.0
719,7.0
720,8.0
721,1.7222222222222223
722,10.333333333333334
723,17.0
724,11.0
725,55123.875
726,3.0
727,3.0
728,4.0
729,1.6666666666666667
730,5.0
731,1.3333333333333333
732,3.0
733,3.5
734,7.0
735,6.0
736,1.2
737,11.0
738,7.0
739,2.25
740,10.0
741,3.0
742,34.0
743,18.0
744,4.0
745,1.2
746,2.0
747,5.0
748,6.0
749,1.25
750,1.5384615384615385
751,4.0
752,5455.0
753,5.5
754,3.0
755,3.0
756,2.0
757,4102.285714285715
758,18.0
759,777.75
760,1.5
761,2.0
762,8.0
763,10.0
764,3.6666666666666665
765,4.0
766,1.5
767,2.1333333333333333
768,6.0
769,3.0
770,3.0
771,4.428571428571429
772,4.0
773,4.333333333333333
774,4.153846153846154
775,1.8
776,23.833333333333332
777,1.3333333333333333
778,4.0
779,2.0
780,3.0
781,1.6666666666666667
782,2076.5263157894738
783,12.0
784,2550.7
785,1.0
786,1.125
787,14.0
788,14.0
789,1.8333333333333333
790,5.0
791,19.555555555555557
792,6.0
793,32566.25
794,1.75
795,4.5
796,2.0
797,3002.5714285714284
798,85.33333333333333
799,38886.375
800,5.666666666666667
801,5.0
802,13.0
803,1.2
804,2.0
805,1.6666666666666667
806,3.8181818181818183
807,22.0
808,7.0
809,2.0
810,1.0
811,5.0
812,9.0
813,94.66666666666667
814,5.0
815,3.0
816,1.3333333333333333
817,5.666666666666667
818,5.0
819,2.0
820,10.0
821,7.666666666666667
822,8.0
823,15.0
824,7.5
825,1.6
826,1.0
827,2.0
828,2.5
829,3.125
830,9.6
831,7.0
832,13.0
833,4.0
834,1.2
835,3.0
836,5.0
837,8.0
838,7.0
839,3.0
840,6.0
841,2.0
842,1.7142857142857142
843,10.0
844,7.0
845,3.0
846,1.5
847,3.5
848,3.0
849,1.3333333333333333
850,10.0
851,1.125
852,11.0
853,7.0
854,4.0
855,9.0
856,6.0
857,6.0
858,5.0
859,1.1666666666666667
860,5.0
861,62.2
862,6.0
863,9.0
864,1.6666666666666667
865,11.0
866,10.0
867,7.0
868,3.75
869,7.0
870,9.0
871,6.0
872,15.0
873,3.0
874,1.1666666666666667
875,1.6
876,8.857142857142858
877,11.666666666666666
878,2.0
879,1.0
880,5.0
881,6.545454545454546
882,1.8
883,5.0
884,25.8
885,58.0
886,5.0
887,5.0
888,7.5
889,11.0
890,2.3333333333333335
891,23.0
892,1.5
893,9.0
894,1.1428571428571428
895,1.588235294117647
896,6.285714285714286
897,6.0
898,1.6666666666666667
899,1.625
900,7.0
901,3.0
902,4.0
903,8.0
904,20.0
905,22.0
906,3.0
907,33.75
908,21.333333333333332
909,5.0
910,1.6
911,2.3333333333333335
912,6.0
913,1.1428571428571428
914,4.0
915,14.2
916,4.285714285714286
917,8.0
918,3.0
919,1.625
920,7.857142857142857
921,1.1428571428571428
922,4.0
923,3.0
924,6.0
925,20.0
926,15.0
927,1.2
928,16.0
929,2.0
930,20.0
931,3.0
932,2.0
933,5.0
934,5.0
935,3.0
936,8.25
937,9.0
938,3.0
939,1.2
940,2.75
941,3.0
942,1214.8333333333333
943,5.0
944,14.0
945,2.0
946,8.4375
947,4.0
948,2511.75
949,6.0
950,10.0
951,3.0
952,3.0
953,4.8
954,5.0
955,1.2
956,6.0
957,15.0
958,13.444444444444445
959,1.5
960,7.0
961,9.0
962,4.5
963,4.0
964,9.0
965,1.1111111111111112
966,22.571428571428573
