,error0
0,1.0
1,4.0
2,5.0
3,4.0
4,149.66666666666666
5,2.8
6,3.3333333333333335
7,9.714285714285714
8,11.0
9,4.0
10,1.3333333333333333
11,1.0
12,54.0
13,3.0
14,5.0
15,4.0
16,3.0
17,3.0
18,9.75
19,4.0
20,2.5
21,3.0
22,1.3333333333333333
23,16.0
24,8.0
25,1.4444444444444444
26,3.0
27,1.5
28,5.0
29,10653.42857142857
30,3.0
31,5.0
32,4.0
33,22145.5
34,5.0
35,6.0
36,6.0
37,423.4
38,4.0
39,2.0
40,11124.0
41,4.0
42,5.0
43,6.0
44,4.0
45,2.6666666666666665
46,18.0
47,2.3529411764705883
48,8.0
49,6.333333333333333
50,13.0
51,7.0
52,5777.0
53,1.7142857142857142
54,4.0
55,4.0
56,2.0
57,1.0
58,3.3333333333333335
59,1.5
60,1192.5
61,5.0
62,218.2
63,8.0
64,3.0
65,3.0
66,6.0
67,1.5
68,16.0
69,3.0
70,4.0
71,4.0
72,3.0
73,6.0
74,6.0
75,5.0
76,4.0
77,7.0
78,2.5
79,2.4
80,2.5
81,2.0
82,4.0
83,1.5714285714285714
84,2.8333333333333335
85,37724.2
86,3.0
87,4.0
88,3.0
89,2.0
90,2.0
91,3.0
92,2.0
93,3.0
94,4.0
95,6.0
96,5.0
97,4.0
98,17.333333333333332
99,2403.9411764705883
100,9.083333333333334
101,4.0
102,3.0
103,5.0
104,6320.454545454545
105,4.0
106,4.0
107,3.0
108,7.0
109,16.0
110,3.0
111,5.0
112,1.0
113,5.0
114,7.0
115,5.0
116,9.0
117,2.0
118,2.0
119,3.6
120,3.0
121,1.0
122,56.0
123,2.6666666666666665
124,2.3333333333333335
125,1.3333333333333333
126,1.5
127,3.7142857142857144
128,8.0
129,7.0
130,3.0
131,10.0
132,8.0
133,11.0
134,1.6
135,11.0
136,8.0
137,170.25
138,27126.6
139,3.0
140,1.3333333333333333
141,4.0
142,4.0
143,2.0
144,7.0
145,7.0
146,4.0
147,9.0
148,2.3333333333333335
149,6.0
150,4.0
151,4.0
152,1.5
153,1.0
154,1.6666666666666667
155,24932.25
156,1.0
157,1.25
158,2592.0666666666666
159,7.0
160,10.0
161,5.0
162,3.5
163,1.2857142857142858
164,8.8
165,4.0
166,3.6
167,68794.5
168,2.2
169,1.0
170,1.1428571428571428
171,1.5
172,77785.0
173,4.0
174,1.7142857142857142
175,569.2
176,3.0
177,4.0
178,4.0
179,4.0
180,5.0
181,1.25
182,26.555555555555557
183,1119.6
184,1.3333333333333333
185,6.0
186,5.0
187,6.0
188,127.66666666666667
189,5.0
190,3.0
191,11412.111111111111
192,8.0
193,3.0
194,4.0
195,155.25
196,1.0
197,3.0
198,4.0
199,10.0
200,1.3333333333333333
201,525.5
202,2.0
203,25957.0
204,2.5
205,16864.583333333332
206,6.0
207,5.0
208,4.0
209,5.0
210,3.0
211,36.666666666666664
212,6.0
213,1252.3333333333333
214,4.0
215,1.6666666666666667
216,2.0
217,7.5
218,295.0
219,7.0
220,4.0
221,7.0
222,3.6666666666666665
223,9.0
224,4.5
225,2.0
226,3.0
227,6.0
228,10.0
229,4.0
230,9.0
231,6921.25
232,2.0
233,5.25
234,1.0
235,44.333333333333336
236,1.4
237,3.0
238,4.25
239,20.25
240,7.0
241,7.0
242,1.3333333333333333
243,1.5
244,8.0
245,7.0
246,1.25
247,3.5
248,3.2
249,7.0
250,11.0
251,1.0
252,9.333333333333334
253,1.6
254,10.0
255,1.5
256,3.0
257,3.5
258,4.0
259,5.0
260,5.0
261,60.0
262,35453.0
263,265.2857142857143
264,94.25
265,50.0
266,6.0
267,8.0
268,27.5
269,1.3333333333333333
270,6.0
271,1.0625
272,10.0
273,7.0
274,5.5
275,1.5
276,4.0
277,4.0
278,2.0
279,56.0
280,5.0
281,3.0
282,1.0
283,5.0
284,2282.5
285,6.0
286,2.0
287,2.0
288,144674.0
289,5.0
290,17009.4
291,3.0
292,3.0
293,128.0
294,2455.6666666666665
295,7.0
296,2.5
297,27.875
298,5.0
299,30.625
300,4.5
301,3.5
302,7.0
303,1.5
304,9.428571428571429
305,5.0
306,5.625
307,6.0
308,4.0
309,77.33333333333333
310,8.0
311,26.0
312,12.0
313,6.5
314,794.6923076923077
315,16.0
316,2.5
317,8.0
318,5.0
319,1.0
320,36.6
321,1.0
322,12.0
323,5.0
324,3.0
325,5.0
326,86.38461538461539
327,4.0
328,1.2857142857142858
329,3.0
330,2.0
331,1.5
332,4.75
333,2.5
334,8.0
335,4.0
336,6.0
337,3.0
338,3.0
339,1.5384615384615385
340,6.0
341,2.6666666666666665
342,2068.4
343,2.6666666666666665
344,4.0
345,659.7142857142857
346,4.0
347,6.666666666666667
348,11.0
349,13.666666666666666
350,6.0
351,19.5
352,2.5
353,3.0
354,3.0
355,3.0
356,1.6666666666666667
357,2.0
358,9627.0
359,1.4
360,4.0
361,6.0
362,368.5
363,5.090909090909091
364,1.25
365,1.2
366,2.3333333333333335
367,7.0
368,18.75
369,4.0
370,2.6666666666666665
371,4.0
372,3.0
373,4.571428571428571
374,172.5
375,5.0
376,2.0
377,8.0
378,20642.8
379,2.5
380,632.4285714285714
381,5.0
382,2.4285714285714284
383,2.75
384,40.77777777777778
385,1.5
386,12.0
387,6.0
388,2.0
389,2.2
390,6.0
391,6.0
392,3.0
393,3.0
394,3.0
395,3.5
396,9.0
397,2.8
398,2.0
399,1.3333333333333333
400,5.428571428571429
401,5.0
402,33.0
403,32.0
404,6.0
405,1369.0
406,4.0
407,4.0
408,53.25
409,4.0
410,5.4
411,10.0
412,11.0
413,3.0
414,3.0
415,716.5
416,4.0
417,4.0
418,5.0
419,6.0
420,11.0
421,34266.125
422,14.0
423,2.3333333333333335
424,2.3333333333333335
425,4.0
426,1.3333333333333333
427,4.0
428,3.0
429,1.0
430,1.1666666666666667
431,4.0
432,1.8
433,6.0
434,5.0
435,788.7777777777778
436,6.0
437,9.0
438,47889.22222222222
439,1.5
440,6.0
441,1.75
442,5.0
443,4.0
444,7.0
445,5.0
446,5.0
447,2.0
448,3.0
449,9.0
450,7.0
451,10.0
452,253.64285714285714
453,4.933333333333334
454,5.0
455,6.0
456,4.0
457,1.1428571428571428
458,6.0
459,2.6666666666666665
460,5.0
461,1.0
462,7.0
463,6.0
464,7.6
465,2.0
466,4.0
467,2.5
468,2.0
469,1.6666666666666667
470,2.0
471,5.0
472,4.0
473,1.5
474,5.0
475,14.0
476,2.3333333333333335
477,1.6666666666666667
478,8.0
479,8.0
480,5.0
481,1.0
482,4.0
483,3.5454545454545454
484,7.0
485,8.0
486,3.0
487,8.0
488,5.0
489,4.0
490,1.6666666666666667
491,1.9
492,1.2857142857142858
493,6.0
494,8.0
495,22.0
496,1.2
497,10.4
498,6.387096774193548
499,1.7692307692307692
500,10.0
501,11.0
502,9.0
503,5.0
504,3.0
505,3.0
506,5.0
507,2.0
508,4.0
509,17.0
510,5.0
511,1.25
512,8.0
513,3.0
514,3.0
515,6.0
516,3.0
517,6.0
518,1.1428571428571428
519,164.2
520,1.2
521,9.0
522,4.0
523,1.1111111111111112
524,4.0
525,2.0
526,1.5
527,3.0
528,2.0
529,19.0
530,1.1666666666666667
531,1.4444444444444444
532,3.0
533,2.0
534,3.0
535,1.75
536,422.4
537,3.0
538,2.0
539,1.2
540,3.0
541,3.0
542,1.5
543,3.0
544,6.0
545,7.5
546,9.0
547,1.0555555555555556
548,8.0
549,3.0
550,1.3076923076923077
551,1.375
552,5.0
553,3.0
554,4.0
555,4.0
556,4.0
557,6.0
558,18.0
559,2.5
560,5.0
561,5.0
562,8.0
563,16501.75
564,1.5
565,5.0
566,8.0
567,3.0
568,3121.4
569,1.0
570,3.0
571,3.0
572,2.0
573,3.0
574,3.75
575,7.0
576,4.0
577,1.5
578,3.5
579,4.0
580,8.666666666666666
581,1.5
582,6.0
583,1.7142857142857142
584,5.0
585,3.5
586,4.0
587,12.0
588,4.6
589,30930.333333333332
590,11.0
591,2.5
592,1.5
593,7.0
594,4.0
595,5.0
596,1.5
597,4.0
598,12.0
599,20701.066666666666
600,10.0
601,16.0
602,1.4
603,10.0
604,1.1666666666666667
605,10.5
606,1.1111111111111112
607,1.0
608,6.0
609,1.3333333333333333
610,1.6666666666666667
611,7.0
612,11.153846153846153
613,12.0
614,8.222222222222221
615,10.0
616,8.666666666666666
617,5.0
618,4.0
619,5.0
620,14.0
621,9142.785714285714
622,10.0
623,843.1111111111111
624,3.0
625,1.0
626,7.0
627,1.3333333333333333
628,158.85714285714286
629,2.3333333333333335
630,5.0
631,5.0
632,9.0
633,1.2
634,5.0
635,11310.0
636,5.0
637,2.0
638,1.2
639,3.0
640,5.0
641,3.5714285714285716
642,3.0
643,8.666666666666666
644,2.0
645,1.3333333333333333
646,4.0
647,7.0
648,5.0
649,5.0
650,4.0
651,8.0
652,8.0
653,9.0
654,6.6
655,3.0
656,2.0
657,6.75
658,2.0
659,14.0
660,32304.8
661,7.0
662,14.0
663,1.0
664,6.0
665,2.090909090909091
666,10.0
667,11169.0
668,2.0
669,1.1666666666666667
670,20.0
671,10.0
672,1.3333333333333333
673,8.0
674,6.0
675,7.0
676,2.6666666666666665
677,27.5
678,4.0
679,5.0
680,4.0
681,6.0
682,4.0
683,4.0
684,1.0
685,6.0
686,6.428571428571429
687,2.0
688,1.25
689,2.0
690,1.3333333333333333
691,4.0
692,2.0
693,3.0
694,18.0
695,4.0
696,2.2
697,3.0
698,3.0
699,4.0
700,2.0
701,1.45
702,1.4444444444444444
703,4.0
704,2.2222222222222223
705,2.3076923076923075
706,1.5
707,2.5
708,2.5
709,55866.25
710,1.4
711,37.666666666666664
712,1.625
713,24.0
714,1.125
715,6.0
716,1.5384615384615385
717,10.0
718,3.0
719,13.5
720,9.0
721,4.857142857142857
722,6.0
723,4.0
724,5.0
725,20532.333333333332
726,5.0
727,1.5
728,2.0
729,1.3333333333333333
730,5.0
731,6.0
732,5.0
733,6.0
734,9.0
735,5.0
736,7.0
737,17.142857142857142
738,15.0
739,5.0
740,2.0
741,9.0
742,39.333333333333336
743,1.625
744,3.8666666666666667
745,4.0
746,4.0
747,6.0
